6.70	7.10	7.92	8.71	9.42
0.03	0.02	0.03	0.03	0.03
41.91	40.97	46.92	42.02	36.89
0.09	0.01	0.03	0.17	0.21
0.35	0.27	0.11	0.19	0.23
4.52	4.13	2.28	2.74	1.66
0.39	0.16	0.18	0.49	0.31
0.11	0.00	0.00	0.06	0.05
17.67	16.40	6.10	5.72	2.56
0.27	0.08	0.07	0.39	0.23
0.09	0.02	0.01	0.12	0.13
1.40	2.55	0.66	0.98	0.87
0.51	0.87	0.82	1.13	1.35
7.05	5.97	8.53	8.95	9.05
0.55	1.30	0.47	0.70	0.68
0.31	0.44	0.48	0.67	0.66
7.31	5.87	11.02	12.77	21.05
5.66	8.86	8.89	7.60	7.70
0.03	0.04	0.12	0.18	0.34
0.85	0.68	1.03	1.30	1.74
3.11	3.05	3.10	3.60	2.41
0.47	0.51	0.54	0.67	1.23
0.50	0.58	0.46	0.60	0.75
0.02	0.01	0.05	0.05	0.21
0.02	0.02	0.04	0.03	0.10
0.00	0.00	0.00	0.00	0.00
